first_time_customer;order_dollar_amount;num_items;age;web_order;total_transactions_to_date;hour_of_day;billing_shipping_zip_equal;reported_as_fraud_historic
0;964.7;19;104.7;1;40;7;0;0
0;524.1;15;24.2;0;55;4;1;0
0;234.2;18;13.8;1;66;15;0;0
1;207.7;8;56.3;0;45;23;1;0
1;910.6;11;59.1;0;31;23;1;1
1;837.3;4;73.7;0;64;21;0;1
1;724.4;11;108.7;0;72;2;1;0
1;354.8;12;39.2;1;75;9;0;1
0;730.8;18;14.4;0;87;1;1;0
1;338.7;13;41.5;0;46;11;0;0
0;677.1;15;84.3;1;59;2;1;0
1;307.5;18;73;1;20;3;1;1
0;379.6;16;81.3;0;77;7;0;0
1;427.4;9;84.4;0;77;12;0;0
0;132.2;1;54.4;1;72;6;1;0
1;573.2;12;35;1;73;5;1;0
0;445.8;17;70.2;1;31;22;0;0
0;230.2;7;47.2;1;81;6;0;0
0;670.8;2;70.9;0;3;6;1;0
0;692.2;7;32.8;0;60;12;1;0
0;54.1;13;78.2;1;37;16;1;0
0;445.6;15;13;1;32;3;1;1
0;320.7;11;62.2;0;70;23;0;0
0;24.6;2;15.2;0;82;8;1;0
0;12.2;16;20;1;75;2;0;1
1;209.8;19;12.8;1;64;2;1;1
1;819.8;5;93.4;0;65;19;1;0
0;120.6;11;84.3;0;56;21;0;0
1;61.5;2;32.9;0;65;21;0;0
1;702.8;4;44.7;0;25;16;1;0
0;804.3;2;58;1;24;11;0;1
0;109.8;18;96.4;1;35;21;0;0
0;130.9;14;61.8;1;92;4;0;1
0;479.4;18;51.2;1;64;5;0;0
1;50.1;18;12.8;1;30;18;0;0
0;604.1;8;73.2;1;66;1;1;0
1;553.2;11;101.3;1;94;3;0;0
1;997.1;15;91.9;1;45;11;0;1
1;313.3;18;82.2;1;53;17;1;0
1;851.3;11;36.8;1;70;12;0;1
0;492.3;20;77.7;1;10;21;0;0
1;501.5;7;10.7;0;37;7;0;1
1;240.1;10;18.1;1;81;2;1;1
1;948.1;6;43.9;0;87;17;1;0
0;280.1;16;29.5;1;17;11;1;1
1;472.7;16;92.1;1;15;0;0;1
1;65.7;3;100;1;50;4;1;0
0;573.3;6;16.2;0;43;20;0;0
0;748.3;14;106.2;0;18;17;0;0
0;334.5;17;29.6;0;7;18;0;0
0;451.4;9;61.9;1;3;10;1;0
0;6.9;19;17.9;1;57;19;1;0
1;781;19;70.4;1;47;17;0;1
1;75.6;18;87.7;1;65;23;0;0
0;75.9;14;32.6;1;14;11;1;1
1;316.2;19;96.2;1;94;0;1;1
1;895.7;12;60.5;0;31;21;0;1
0;339.3;10;10.8;0;77;8;0;1
0;246.4;14;44.9;0;71;22;1;0
0;123.7;4;47.9;1;62;4;1;0
0;45.6;6;29.1;1;17;0;1;1
0;37.4;7;42.9;0;64;20;0;0
0;325;3;36.9;1;64;6;1;0
0;846.8;2;100;0;80;3;1;0
1;398.7;5;66;1;74;20;0;0
0;912.3;9;18.7;1;85;16;1;1
0;1.8;18;85.6;0;57;9;0;0
1;163.6;3;96.6;0;20;21;1;0
1;241.1;17;13.7;0;78;15;0;1
1;867;20;34.7;0;35;22;0;1
1;607.5;8;40.6;1;26;18;0;1
1;787.6;15;25.6;0;79;9;1;0
1;419.4;20;53.3;1;72;12;0;1
1;625.1;1;11.4;1;81;20;0;1
1;200.9;6;59.7;0;39;16;1;0
1;216;13;92;1;74;15;0;0
0;790.6;14;58;1;90;9;1;0
1;448.8;18;15.8;1;96;16;1;0
1;689;19;10.4;1;13;10;1;0
0;668.3;1;99.8;0;10;10;0;0
1;143.9;5;72.6;1;38;8;1;0
0;67.4;1;30.2;1;82;6;1;0
0;474.7;11;27.4;1;35;16;1;0
1;568.1;11;92.7;0;67;16;0;0
0;134;19;74.6;0;53;0;1;0
0;690.1;15;83.3;1;63;1;1;0
1;8.6;14;25;1;49;17;0;0
0;907.8;16;48.5;1;72;6;0;1
1;457.9;2;50;1;49;5;1;0
0;995.7;5;106.7;1;23;16;1;0
0;591.1;19;35.9;0;89;10;1;0
1;862.2;14;98.3;0;7;3;0;1
0;282;5;93.5;1;7;21;0;0
0;371.4;7;16.8;0;71;12;0;0
0;423.5;18;73.3;1;12;3;0;1
1;653.4;9;70.3;1;29;18;1;0
0;918.5;19;34.3;0;85;9;0;1
0;402.7;5;21.5;1;29;22;0;0
0;910.5;3;19.6;0;79;3;1;0
1;402.5;16;92.9;0;78;13;1;0
1;814.4;9;103.7;0;26;0;0;0
0;962;6;59;0;80;11;1;0
1;525.9;3;65.6;0;9;0;0;0
0;553.7;3;93.9;0;79;3;1;0
0;949.2;2;84.7;1;18;15;0;1
0;864;2;32;1;3;13;0;1
0;917.5;18;16.7;1;23;8;0;1
0;421.3;14;89.3;1;96;7;1;0
1;33.1;17;26.2;1;51;7;1;0
1;517.4;2;107.5;0;94;0;1;0
1;536.3;6;91.1;1;29;0;1;0
1;649.1;14;81.2;1;2;23;0;1
0;944;2;15.6;0;70;17;0;1
1;978.9;14;19.4;1;47;21;1;1
1;957.7;20;101.5;0;45;3;1;0
0;315.4;13;89;1;37;2;1;1
1;141.4;6;27.3;0;98;18;1;0
0;113.2;4;91.8;0;93;12;0;0
1;868.7;7;86;1;48;6;0;1
1;992.2;7;25.6;0;84;11;1;0
1;39.3;7;30.8;0;32;22;1;0
0;277;19;77.2;1;39;2;1;1
0;65.4;17;78.5;0;39;22;0;0
1;55;10;99.4;0;61;5;1;0
1;627.5;13;22.7;1;77;15;0;0
1;254.4;5;20.9;0;20;12;0;0
1;699.6;10;103.1;1;37;21;1;0
1;242.2;8;39.7;1;45;20;1;0
0;344.2;1;84.8;0;94;2;1;0
1;440.7;2;49.3;1;90;12;0;1
0;776.3;12;94.6;1;94;11;1;0
1;464.8;3;48.5;0;16;5;0;0
0;197.7;3;66.1;1;84;3;0;0
0;277.5;8;84.1;1;27;17;1;0
1;900.3;8;43.1;0;31;5;0;1
0;866;9;76.7;0;33;4;1;0
1;138.9;16;90.6;0;82;15;0;0
0;936.8;6;80.6;1;68;8;0;0
1;273.7;13;64.5;1;7;13;0;1
0;130.6;14;25.3;1;28;1;0;1
1;682.7;3;89.7;1;92;20;1;0
1;256.3;13;91.9;0;69;1;1;0
1;942.8;16;95.3;0;10;6;1;0
1;44.9;4;71.5;1;25;19;0;0
0;781;10;59.8;0;40;3;0;0
0;923.1;6;57.4;1;87;19;1;1
1;295.1;17;12.5;1;70;8;1;1
1;305.8;12;20.3;1;93;19;1;0
1;943.8;14;44.8;0;45;0;0;1
1;908.8;16;16.6;1;91;8;0;1
1;806.4;4;78.7;1;100;4;1;0
1;580.7;17;80.4;1;10;16;1;0
0;611.9;14;43.6;0;30;10;0;0
1;154.1;20;48.1;1;97;14;1;0
0;38;16;12.1;0;60;20;1;0
0;816.9;17;66.1;1;67;16;0;1
0;778.9;8;42.7;0;43;3;0;0
0;502.9;14;32.9;1;22;14;0;0
0;883.7;14;81.8;0;53;14;0;1
0;801.5;2;22.7;0;82;20;0;0
0;863;12;73.4;0;15;10;0;1
0;887.6;7;43.6;1;76;10;1;0
0;66.7;14;27.3;0;32;3;0;0
0;970.6;20;78.4;0;55;20;1;0
0;829.3;12;94.9;0;36;4;1;0
1;763;7;58.3;1;64;11;1;0
1;886.9;5;104;1;47;3;1;0
0;468.8;11;20.4;1;32;19;0;0
1;561.8;7;101.2;1;55;3;0;0
0;791.1;9;98.5;0;23;4;1;0
1;218;14;52.8;0;6;3;0;1
0;459.3;11;96.2;0;6;13;1;0
1;485.5;14;54;0;14;4;0;1
1;775.9;5;94;0;82;13;1;0
0;754.3;16;95.7;0;70;15;1;0
0;682.9;12;39.7;1;37;22;0;1
0;438.3;2;40.3;1;94;7;1;0
0;847.5;1;71;1;44;13;0;1
0;508;3;55.1;1;63;13;1;0
0;267.9;17;22.6;0;98;13;1;0
1;793.4;4;54.5;1;97;10;0;1
0;897.4;5;65.7;1;97;23;1;0
1;556.1;8;99.4;0;17;17;0;0
1;789.6;12;30.8;0;50;19;1;1
0;831.1;4;106.2;1;50;18;0;1
1;262.1;7;63.9;0;45;8;0;0
0;37.8;9;12.6;1;31;17;1;1
0;579.8;9;65.5;0;33;17;0;0
1;361;18;52.8;1;29;3;1;0
1;658.5;19;63.7;0;73;13;0;1
1;401.1;11;89.8;1;72;2;1;0
0;286.5;6;69.4;1;93;18;1;0
0;593.9;8;56.8;1;12;20;0;0
0;368;7;65.3;0;23;21;0;0
1;900.2;10;56.6;1;77;16;0;1
1;683.3;3;78.1;1;26;5;0;1
0;264.2;18;68.5;0;62;14;1;0
1;671.3;16;83.8;0;10;10;0;1
1;342.5;2;14.7;1;6;2;1;0
1;729.1;14;96.4;0;47;6;1;0
0;1.6;18;33.4;0;22;16;1;0
1;533;18;89;1;54;11;1;0
1;85.7;15;11.6;0;99;17;1;0
1;877.6;5;99.5;1;93;1;0;1
0;953.4;2;24.8;0;52;16;1;0
0;535.8;4;68.1;1;37;10;1;0
0;284.6;12;35.7;0;67;20;0;0
0;637;6;59.2;0;40;4;0;0
0;656.5;11;101.1;0;73;19;0;0
1;65.7;20;15.4;1;88;18;1;0
0;388.7;7;36.3;1;12;20;0;0
1;379.3;12;95.4;1;49;9;0;1
0;159.4;18;88.7;0;50;7;1;0
0;745.7;12;45.3;0;96;8;1;0
1;888.8;5;68.7;0;65;0;0;1
0;400.2;7;52.1;1;41;8;1;0
0;394.4;1;89.4;0;93;9;1;0
0;121.5;15;31.7;0;37;0;1;1
0;314.2;5;64.1;0;48;2;1;0
1;228.4;16;98.9;1;90;23;0;0
1;799.8;16;12.5;0;87;20;0;1
0;346.3;3;42.6;1;71;7;1;0
0;830.3;10;93.4;0;90;13;1;0
0;70.7;5;47.8;0;41;5;1;0
1;645.3;13;31.6;1;71;10;1;0
1;467.6;7;56.9;0;84;15;1;0
0;329.8;9;66.6;1;87;23;1;0
1;218.6;13;23.9;1;29;13;0;1
0;364.5;13;75.6;0;77;2;1;0
1;227;8;39.4;1;25;12;1;0
1;877.3;15;93.5;1;30;5;0;1
0;481.6;1;69.5;1;19;22;1;0
0;844.9;11;76.2;1;22;1;0;1
0;220.8;14;106;1;12;5;1;1
1;844.7;7;100.5;1;65;15;1;0
0;897.7;2;78.1;1;68;10;0;0
1;857.8;14;49.7;1;33;19;0;1
1;445.7;12;75.1;1;11;1;0;1
1;622.6;1;36.5;1;97;17;0;1
0;345.4;17;31.2;1;69;18;1;0
1;39.3;9;11.2;0;28;15;1;0
1;991.4;13;20.3;0;1;5;1;0
1;125.2;8;106.8;1;29;2;1;0
0;860.9;16;13.4;0;79;17;0;1
1;20.5;12;70.6;0;17;0;1;0
0;982.5;1;46.8;0;52;1;1;0
0;545.4;4;31.2;1;35;8;0;0
1;205.5;13;51.5;1;61;1;0;1
0;807.2;12;53.3;1;29;0;0;1
1;771.1;10;94;0;40;11;0;0
0;359.4;14;27.1;1;42;12;1;0
0;683;16;79;0;62;10;1;0
0;409.9;3;45.9;0;72;12;1;0
0;379.5;17;62.3;1;80;11;1;0
1;581.7;13;18.1;1;54;4;1;0
