transaction_id,reported_as_fraud_historic
 1,N
 2,N
 3,N
 4,N
 5,Y
 6,Y
 7,N
 8,Y
 9,N
 10,N
 11,N
 12,Y
 13,N
 14,N
 15,N
 16,N
 17,N
 18,N
 19,N
 20,N
 21,N
 22,Y
 23,N
 24,N
 25,Y
 26,Y
 27,N
 28,N
 29,N
 30,N
 31,Y
 32,N
 33,Y
 34,N
 35,N
 36,N
 37,N
 38,Y
 39,N
 40,Y
 41,N
 42,Y
 43,Y
 44,N
 45,Y
 46,Y
 47,N
 48,N
 49,N
 50,N
 51,N
 52,N
 53,Y
 54,N
 55,Y
 56,Y
 57,Y
 58,Y
 59,N
 60,N
 61,Y
 62,N
 63,N
 64,N
 65,N
 66,Y
 67,N
 68,N
 69,Y
 70,Y
 71,Y
 72,N
 73,Y
 74,Y
 75,N
 76,N
 77,N
 78,N
 79,N
 80,N
 81,N
 82,N
 83,N
 84,N
 85,N
 86,N
 87,N
 88,Y
 89,N
 90,N
 91,N
 92,Y
 93,N
 94,N
 95,Y
 96,N
 97,Y
 98,N
 99,N
 100,N
 101,N
 102,N
 103,N
 104,N
 105,Y
 106,Y
 107,Y
 108,N
 109,N
 110,N
 111,N
 112,Y
 113,Y
 114,Y
 115,N
 116,Y
 117,N
 118,N
 119,Y
 120,N
 121,N
 122,Y
 123,N
 124,N
 125,N
 126,N
 127,N
 128,N
 129,N
 130,Y
 131,N
 132,N
 133,N
 134,N
 135,Y
 136,N
 137,N
 138,N
 139,Y
 140,Y
 141,N
 142,N
 143,N
 144,N
 145,N
 146,Y
 147,Y
 148,N
 149,Y
 150,Y
 151,N
 152,N
 153,N
 154,N
 155,N
 156,Y
 157,N
 158,N
 159,Y
 160,N
 161,Y
 162,N
 163,N
 164,N
 165,N
 166,N
 167,N
 168,N
 169,N
 170,N
 171,Y
 172,N
 173,Y
 174,N
 175,N
 176,Y
 177,N
 178,Y
 179,N
 180,N
 181,Y
 182,N
 183,N
 184,Y
 185,Y
 186,N
 187,Y
 188,N
 189,N
 190,Y
 191,N
 192,N
 193,N
 194,N
 195,Y
 196,Y
 197,N
 198,Y
 199,N
 200,N
 201,N
 202,N
 203,N
 204,Y
 205,N
 206,N
 207,N
 208,N
 209,N
 210,N
 211,N
 212,Y
 213,N
 214,N
 215,Y
 216,N
 217,N
 218,Y
 219,N
 220,N
 221,Y
 222,N
 223,N
 224,N
 225,N
 226,N
 227,N
 228,Y
 229,N
 230,N
 231,Y
 232,N
 233,Y
 234,Y
 235,N
 236,N
 237,Y
 238,Y
 239,Y
 240,N
 241,N
 242,N
 243,N
 244,Y
 245,N
 246,N
 247,N
 248,Y
 249,Y
 250,N
 251,N
 252,N
 253,N
 254,N
 255,N
 256,N
 257,N
 258,N
 259,N
 260,Y
 261,N
 262,N
 263,N
 264,N
 265,N
 266,N
 267,N
 268,N
 269,Y
 270,N
 271,N
 272,Y
 273,N
 274,Y
 275,N
 276,N
 277,Y
 278,N
 279,N
 280,N
 281,Y
 282,Y
 283,Y
 284,N
 285,N
 286,Y
 287,N
 288,Y
 289,N
 290,Y
 291,N
 292,N
 293,Y
 294,N
 295,N
 296,N
 297,N
 298,N
 299,Y
 300,N
 301,N
 302,N
 303,N
 304,N
 305,N
 306,Y
 307,N
 308,N
 309,N
 310,N
 311,N
 312,Y
 313,Y
 314,N
 315,N
 316,Y
 317,Y
 318,N
 319,Y
 320,N
 321,N
 322,N
 323,Y
 324,N
 325,N
 326,N
 327,N
 328,Y
 329,N
 330,N
 331,N
 332,N
 333,N
 334,Y
 335,N
 336,N
 337,Y
 338,Y
 339,N
 340,N
 341,N
 342,N
 343,N
 344,N
 345,N
 346,N
 347,N
 348,Y
 349,N
 350,Y
 351,Y
 352,N
 353,N
 354,N
 355,Y
 356,Y
 357,N
 358,Y
 359,N
 360,Y
 361,N
 362,N
 363,N
 364,N
 365,N
 366,N
 367,N
 368,Y
 369,Y
 370,N
 371,N
 372,N
 373,N
 374,Y
 375,Y
 376,N
 377,N
 378,Y
 379,Y
 380,Y
 381,Y
 382,N
 383,N
 384,N
 385,N
 386,N
 387,Y
 388,N
 389,N
 390,N
 391,N
 392,N
 393,Y
 394,N
 395,N
 396,N
 397,N
 398,N
 399,N
 400,N
 401,Y
 402,N
 403,N
 404,Y
 405,Y
 406,N
 407,N
 408,N
 409,N
 410,N
 411,Y
 412,Y
 413,N
 414,N
 415,Y
 416,N
 417,N
 418,N
 419,N
 420,N
 421,N
 422,Y
 423,N
 424,N
 425,N
 426,N
 427,N
 428,N
 429,N
 430,N
 431,Y
 432,N
 433,N
 434,Y
 435,Y
 436,N
 437,N
 438,Y
 439,N
 440,N
 441,N
 442,N
 443,Y
 444,Y
 445,Y
 446,N
 447,N
 448,Y
 449,N
 450,Y
 451,N
 452,N
 453,N
 454,N
 455,N
 456,N
 457,Y
 458,N
 459,Y
 460,N
 461,N
 462,Y
 463,N
 464,N
 465,N
 466,Y
 467,N
 468,N
 469,Y
 470,N
 471,N
 472,N
 473,N
 474,N
 475,N
 476,N
 477,Y
 478,Y
 479,N
 480,Y
 481,Y
 482,N
 483,Y
 484,N
 485,N
 486,Y
 487,Y
 488,Y
 489,N
 490,N
 491,N
 492,N
 493,N
 494,Y
 495,N
 496,Y
 497,Y
 498,N
 499,N
 500,N
 501,N
 502,N
 503,N
 504,N
 505,N
 506,N
 507,Y
 508,N
 509,N
 510,N
 511,N
 512,N
 513,N
 514,N
 515,N
 516,N
 517,N
 518,N
 519,Y
 520,N
 521,N
 522,N
 523,N
 524,N
 525,Y
 526,N
 527,Y
 528,N
 529,N
 530,Y
 531,Y
 532,N
 533,Y
 534,Y
 535,N
 536,N
 537,N
 538,N
 539,N
 540,N
 541,N
 542,Y
 543,Y
 544,N
 545,N
 546,Y
 547,N
 548,Y
 549,N
 550,Y
 551,N
 552,Y
 553,N
 554,N
 555,N
 556,N
 557,N
 558,N
 559,Y
 560,N
 561,N
 562,N
 563,N
 564,Y
 565,N
 566,N
 567,N
 568,N
 569,N
 570,Y
 571,N
 572,N
 573,N
 574,N
 575,Y
 576,N
 577,N
 578,Y
 579,Y
 580,Y
 581,Y
 582,N
 583,Y
 584,Y
 585,N
 586,N
 587,N
 588,N
 589,Y
 590,N
 591,N
 592,N
 593,Y
 594,Y
 595,Y
 596,Y
 597,N
 598,N
 599,N
 600,Y
 601,N
 602,N
 603,N
 604,N
 605,N
 606,N
 607,N
 608,N
 609,Y
 610,Y
 611,N
 612,N
 613,N
 614,N
 615,N
 616,N
 617,N
 618,N
 619,Y
 620,N
 621,N
 622,N
 623,Y
 624,N
 625,Y
 626,N
 627,Y
 628,N
 629,Y
 630,N
 631,N
 632,N
 633,N
 634,N
 635,N
 636,Y
 637,N
 638,N
 639,N
 640,N
 641,Y
 642,Y
 643,N
 644,N
 645,Y
 646,N
 647,N
 648,N
 649,N
 650,Y
 651,N
 652,Y
 653,N
 654,N
 655,N
 656,N
 657,N
 658,N
 659,N
 660,N
 661,N
 662,N
 663,N
 664,N
 665,Y
 666,Y
 667,N
 668,N
 669,Y
 670,Y
 671,N
 672,N
 673,N
 674,Y
 675,N
 676,N
 677,N
 678,N
 679,N
 680,Y
 681,N
 682,Y
 683,N
 684,N
 685,N
 686,N
 687,N
 688,N
 689,Y
 690,N
 691,Y
 692,N
 693,N
 694,Y
 695,N
 696,Y
 697,N
 698,N
 699,N
 700,Y
 701,N
 702,N
 703,N
 704,N
 705,N
 706,N
 707,Y
 708,N
 709,N
 710,Y
 711,N
 712,N
 713,N
 714,N
 715,N
 716,Y
 717,N
 718,N
 719,N
 720,Y
 721,Y
 722,N
 723,Y
 724,Y
 725,N
 726,Y
 727,N
 728,N
 729,Y
 730,N
 731,N
 732,N
 733,N
 734,N
 735,N
 736,N
 737,Y
 738,Y
 739,N
 740,N
 741,N
 742,Y
 743,N
 744,N
 745,N
 746,Y
 747,Y
 748,N
 749,N
 750,Y
 751,N
 752,N
 753,N
 754,N
 755,N
 756,N
 757,N
 758,Y
 759,Y
 760,N
 761,N
 762,N
 763,N
 764,N
 765,N
 766,N
 767,N
 768,N
 769,N
 770,N
 771,N
 772,N
 773,N
 774,N
 775,Y
 776,Y
 777,N
 778,N
 779,N
 780,N
 781,Y
 782,Y
 783,N
 784,N
 785,Y
 786,Y
 787,N
 788,N
 789,N
 790,N
 791,N
 792,N
 793,Y
 794,N
 795,Y
 796,N
 797,N
 798,N
 799,Y
 800,Y
 801,N
 802,N
 803,N
 804,Y
 805,N
 806,N
 807,Y
 808,N
 809,Y
 810,N
 811,N
 812,N
 813,N
 814,N
 815,Y
 816,N
 817,N
 818,Y
 819,N
 820,Y
 821,Y
 822,N
 823,N
 824,N
 825,Y
 826,N
 827,N
 828,N
 829,N
 830,N
 831,N
 832,Y
 833,N
 834,Y
 835,Y
 836,N
 837,N
 838,N
 839,Y
 840,N
 841,N
 842,N
 843,Y
 844,Y
 845,N
 846,N
 847,Y
 848,Y
 849,N
 850,N
 851,N
 852,Y
 853,N
 854,N
 855,Y
 856,N
 857,N
 858,N
 859,Y
 860,Y
 861,N
 862,N
 863,Y
 864,N
 865,Y
 866,N
 867,N
 868,N
 869,N
 870,N
 871,N
 872,N
 873,N
 874,N
 875,N
 876,N
 877,Y
 878,N
 879,N
 880,N
 881,N
 882,N
 883,N
 884,N
 885,N
 886,N
 887,N
 888,N
 889,N
 890,Y
 891,N
 892,N
 893,N
 894,N
 895,N
 896,N
 897,Y
 898,N
 899,Y
 900,N
 901,N
 902,Y
 903,N
 904,N
 905,N
 906,N
 907,Y
 908,Y
 909,Y
 910,N
 911,Y
 912,N
 913,N
 914,N
 915,Y
 916,N
 917,Y
 918,N
 919,N
 920,Y
 921,N
 922,N
 923,N
 924,N
 925,N
 926,N
 927,N
 928,N
 929,Y
 930,Y
 931,N
 932,Y
 933,N
 934,N
 935,N
 936,Y
 937,Y
 938,Y
 939,Y
 940,Y
 941,N
 942,Y
 943,N
 944,N
 945,N
 946,N
 947,N
 948,Y
 949,N
 950,N
 951,N
 952,N
 953,N
 954,N
 955,Y
 956,Y
 957,Y
 958,N
 959,N
 960,N
 961,N
 962,N
 963,N
 964,N
 965,N
 966,N
 967,N
 968,N
 969,N
 970,Y
 971,N
 972,N
 973,N
 974,N
 975,N
 976,N
 977,N
 978,N
 979,Y
 980,N
 981,N
 982,N
 983,N
 984,Y
 985,Y
 986,N
 987,N
 988,N
 989,N
 990,N
 991,N
 992,N
 993,N
 994,N
 995,N
 996,N
 997,N
 998,N
 999,N
 1000,N
 1001,N
 1002,N
 1003,N
 1004,N
 1005,N
 1006,N
 1007,Y
 1008,N
 1009,N
 1010,N
 1011,N
 1012,N
 1013,N
 1014,N
 1015,N
 1016,N
 1017,N
 1018,Y
 1019,Y
 1020,N
 1021,N
 1022,Y
 1023,N
 1024,N
 1025,Y
 1026,Y
 1027,N
 1028,N
 1029,N
 1030,N
 1031,N
 1032,N
 1033,N
 1034,N
 1035,N
 1036,N
 1037,Y
 1038,N
 1039,N
 1040,N
 1041,N
 1042,N
 1043,N
 1044,Y
 1045,N
 1046,N
 1047,N
 1048,Y
 1049,N
 1050,N
 1051,N
 1052,N
 1053,N
 1054,N
 1055,N
 1056,N
 1057,N
 1058,N
 1059,Y
 1060,N
 1061,N
 1062,Y
 1063,N
 1064,N
 1065,N
 1066,N
 1067,Y
 1068,N
 1069,N
 1070,N
 1071,N
 1072,N
 1073,N
 1074,Y
 1075,N
 1076,N
 1077,N
 1078,N
 1079,Y
 1080,N
 1081,N
 1082,N
 1083,N
 1084,Y
 1085,N
 1086,N
 1087,N
 1088,Y
 1089,N
 1090,Y
 1091,N
 1092,N
 1093,N
 1094,N
 1095,N
 1096,Y
 1097,Y
 1098,N
 1099,N
 1100,Y
 1101,N
 1102,N
 1103,N
 1104,N
 1105,N
 1106,N
 1107,Y
 1108,N
 1109,N
 1110,N
 1111,N
 1112,Y
 1113,Y
 1114,N
 1115,N
 1116,N
 1117,N
 1118,N
 1119,N
 1120,Y
 1121,Y
 1122,N
 1123,N
 1124,N
 1125,N
 1126,N
 1127,N
 1128,N
 1129,N
 1130,N
 1131,Y
 1132,N
 1133,N
 1134,N
 1135,N
 1136,Y
 1137,N
 1138,N
 1139,N
 1140,N
 1141,N
 1142,Y
 1143,N
 1144,Y
 1145,N
 1146,Y
 1147,Y
 1148,N
 1149,Y
 1150,Y
 1151,N
 1152,Y
 1153,N
 1154,N
 1155,N
 1156,N
 1157,N
 1158,N
 1159,N
 1160,N
 1161,N
 1162,N
 1163,N
 1164,N
 1165,Y
 1166,Y
 1167,N
 1168,N
 1169,N
 1170,Y
 1171,Y
 1172,N
 1173,N
 1174,N
 1175,N
 1176,N
 1177,N
 1178,N
 1179,N
 1180,N
 1181,N
 1182,Y
 1183,N
 1184,Y
 1185,N
 1186,N
 1187,N
 1188,Y
 1189,N
 1190,N
 1191,N
 1192,Y
 1193,Y
 1194,N
 1195,N
 1196,Y
 1197,N
 1198,Y
 1199,Y
 1200,N
 1201,Y
 1202,N
 1203,N
 1204,N
 1205,N
 1206,N
 1207,N
 1208,N
 1209,N
 1210,N
 1211,Y
 1212,N
 1213,N
 1214,N
 1215,N
 1216,N
 1217,N
 1218,N
 1219,N
 1220,N
 1221,N
 1222,N
 1223,N
 1224,N
 1225,N
 1226,Y
 1227,Y
 1228,Y
 1229,N
 1230,N
 1231,N
 1232,N
 1233,Y
 1234,N
 1235,N
 1236,Y
 1237,Y
 1238,N
 1239,N
 1240,N
 1241,Y
 1242,N
 1243,N
 1244,N
 1245,N
 1246,N
 1247,N
 1248,N
 1249,N
 1250,N
 1251,Y
 1252,N
 1253,Y
 1254,N
 1255,N
 1256,N
 1257,N
 1258,Y
 1259,N
 1260,N
 1261,N
 1262,N
 1263,Y
 1264,N
 1265,Y
 1266,Y
 1267,N
 1268,N
 1269,N
 1270,N
 1271,N
 1272,Y
 1273,N
 1274,Y
 1275,N
 1276,N
 1277,Y
 1278,N
 1279,N
 1280,N
 1281,N
 1282,N
 1283,N
 1284,Y
 1285,N
 1286,Y
 1287,N
 1288,N
 1289,Y
 1290,N
 1291,N
 1292,N
 1293,Y
