ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID
10107,30,95.7,2,2871,2003/02/24,Shipped   ,1,2
10121,34,81.3,5,2765.9,2003/05/07,Shipped   ,2,5
10134,41,94.7,2,3884.3,2003/07/01,Shipped   ,3,7
10145,45,83.3,6,3746.7,2003/08/25,Shipped   ,3,8
10159,49,100,14,5205.3,2003/10/10,Shipped   ,4,10
10168,36,96.7,1,3479.8,2003/10/28,Shipped   ,4,10
10180,29,86.1,9,2497.8,2003/11/11,Shipped   ,4,11
10188,48,100,1,5512.3,2003/11/18,Shipped   ,4,11
10201,22,98.6,2,2168.5,2003/12/01,Shipped   ,4,12
10211,41,100,14,4708.4,2004/01/15,Shipped   ,1,1
10223,37,100,1,3965.7,2004/02/20,Shipped   ,1,2
10237,23,100,7,2333.1,2004/04/05,Shipped   ,2,4
10251,28,100,2,3188.6,2004/05/18,Shipped   ,2,5
10263,34,100,2,3676.8,2004/06/28,Shipped   ,2,6
10275,45,92.8,1,4177.4,2004/07/23,Shipped   ,3,7
10285,36,100,6,4099.7,2004/08/27,Shipped   ,3,8
10299,23,100,9,2597.4,2004/09/30,Shipped   ,3,9
10309,41,100,5,4394.4,2004/10/15,Shipped   ,4,10
10318,46,94.7,1,4358,2004/11/02,Shipped   ,4,11
10329,42,100,1,4396.1,2004/11/15,Shipped   ,4,11
10341,41,100,9,7737.9,2004/11/24,Shipped   ,4,11
10361,20,72.5,13,1451,2004/12/17,Shipped   ,4,12
10375,21,34.9,12,733.1,2005/02/03,Shipped   ,1,2
10388,42,76.4,4,3207.1,2005/03/03,Shipped   ,1,3
10403,24,100,7,2434.6,2005/04/08,Shipped   ,2,4
10417,66,100,2,7516.1,2005/05/13,Disputed  ,2,5
10103,26,100,11,5404.6,2003/01/29,Shipped   ,1,1
10112,29,100,1,7209.1,2003/03/24,Shipped   ,1,3
10126,38,100,11,7329.1,2003/05/28,Shipped   ,2,5
10140,37,100,11,7374.1,2003/07/24,Shipped   ,3,7
10150,45,100,8,10993.5,2003/09/19,Shipped   ,3,9
10163,21,100,1,4860.2,2003/10/20,Shipped   ,4,10
10174,34,100,4,8014.8,2003/11/06,Shipped   ,4,11
10183,23,100,8,5372.6,2003/11/13,Shipped   ,4,11
10194,42,100,11,7290.4,2003/11/25,Shipped   ,4,11
10206,47,100,6,9064.9,2003/12/05,Shipped   ,4,12
10215,35,100,3,6075.3,2004/01/29,Shipped   ,1,1
10228,29,100,2,6463.2,2004/03/10,Shipped   ,1,3
10245,34,100,9,6120.3,2004/05/04,Shipped   ,2,5
10258,32,100,6,7680.6,2004/06/15,Shipped   ,2,6
10270,21,100,9,4905.4,2004/07/19,Shipped   ,3,7
10280,34,100,2,8014.8,2004/08/17,Shipped   ,3,8
10291,37,100,11,7136.2,2004/09/08,Shipped   ,3,9
10304,47,100,6,10172.7,2004/10/11,Shipped   ,4,10
10312,48,100,3,11623.7,2004/10/21,Shipped   ,4,10
10322,40,100,1,6000.4,2004/11/04,Shipped   ,4,11
10333,26,100,3,3003,2004/11/18,Shipped   ,4,11
10347,30,100,1,3944.7,2004/11/29,Shipped   ,4,11
