transaction_id,account_id,merchant_id,amount,currency,transaction_date,status
TXN-2024-001,ACC-1001,MER-5001,45.99,USD,2024-01-23 09:15:22,APPROVED
TXN-2024-002,ACC-1002,MER-5002,1250.00,USD,2024-01-23 09:18:45,APPROVED
TXN-2024-003,ACC-1003,MER-5003,23.50,USD,2024-01-23 09:22:10,APPROVED
TXN-2024-004,ACC-1004,MER-5004,89.99,USD,2024-01-23 09:35:15,APPROVED
TXN-2024-005,ACC-1005,MER-5005,2200.00,USD,2024-01-23 09:42:30,APPROVED
TXN-2024-006,ACC-1001,MER-5006,156.75,USD,2024-01-23 10:05:45,APPROVED
TXN-2024-007,ACC-1002,MER-5001,67.20,USD,2024-01-23 10:12:18,APPROVED
TXN-2024-008,ACC-1003,MER-5007,420.00,USD,2024-01-23 10:28:33,APPROVED
TXN-2024-009,ACC-1006,MER-5002,3200.00,USD,2024-01-23 10:45:22,APPROVED
TXN-2024-010,ACC-1001,MER-5003,34.99,USD,2024-01-23 11:03:15,APPROVED
TXN-2024-011,ACC-1007,MER-5008,15.50,USD,2024-01-23 11:18:42,APPROVED
TXN-2024-012,ACC-1002,MER-5009,890.00,USD,2024-01-23 11:35:20,APPROVED
TXN-2024-013,ACC-1008,MER-5001,52.30,USD,2024-01-23 12:02:45,APPROVED
TXN-2024-014,ACC-1004,MER-5010,1750.00,USD,2024-01-23 12:20:10,APPROVED
TXN-2024-015,ACC-1002,MER-5002,3500.00,USD,2024-01-23 14:22:10,DECLINED
TXN-2024-016,ACC-1005,MER-5011,125.00,EUR,2024-01-23 14:35:22,APPROVED
TXN-2024-017,ACC-1009,MER-5003,28.75,USD,2024-01-23 14:48:15,APPROVED
TXN-2024-018,ACC-1001,MER-5012,450.00,USD,2024-01-23 15:05:30,APPROVED
TXN-2024-019,ACC-1010,MER-5001,95.50,GBP,2024-01-23 15:22:45,APPROVED
TXN-2024-020,ACC-1003,MER-5004,67.80,USD,2024-01-23 15:40:18,APPROVED
TXN-2024-021,ACC-1006,MER-5013,1450.00,USD,2024-01-23 16:05:22,APPROVED
TXN-2024-022,ACC-1011,MER-5005,180.00,USD,2024-01-23 16:18:45,APPROVED
TXN-2024-023,ACC-1005,MER-5014,2200.00,USD,2024-01-23 16:45:33,DECLINED
TXN-2024-024,ACC-1007,MER-5007,320.00,USD,2024-01-23 17:02:10,APPROVED
TXN-2024-025,ACC-1002,MER-5001,78.90,USD,2024-01-23 17:25:45,APPROVED
TXN-2024-026,ACC-1012,MER-5015,540.00,USD,2024-01-23 17:48:22,APPROVED
TXN-2024-027,ACC-1008,MER-5003,42.50,USD,2024-01-23 18:05:10,APPROVED
TXN-2024-028,ACC-1004,MER-5009,1200.00,USD,2024-01-23 18:22:35,APPROVED
TXN-2024-029,ACC-1009,MER-5016,88.00,USD,2024-01-23 18:45:18,APPROVED
TXN-2024-030,ACC-1001,MER-5006,210.00,USD,2024-01-23 19:05:42,APPROVED
TXN-2024-031,ACC-1002,MER-5017,1800.00,USD,2024-01-23 19:12:05,DECLINED
TXN-2024-032,ACC-1013,MER-5001,65.40,USD,2024-01-23 19:35:22,APPROVED
TXN-2024-033,ACC-1006,MER-5010,950.00,USD,2024-01-23 19:52:45,APPROVED
TXN-2024-034,ACC-1010,MER-5018,145.00,USD,2024-01-23 20:08:10,APPROVED
TXN-2024-035,ACC-1003,MER-5003,38.75,USD,2024-01-23 20:25:33,APPROVED
TXN-2024-036,ACC-1001,MER-5001,89.50,USD,2024-01-24 08:20:15,APPROVED
TXN-2024-037,ACC-1002,MER-5003,45.00,USD,2024-01-24 09:10:30,APPROVED
TXN-2024-038,ACC-1003,MER-5006,125.60,USD,2024-01-24 10:15:45,APPROVED
TXN-2024-039,ACC-1005,MER-5001,210.00,USD,2024-01-24 11:22:10,APPROVED
TXN-2024-040,ACC-1006,MER-5003,32.50,USD,2024-01-24 12:05:20,APPROVED
TXN-2024-041,ACC-1002,MER-5002,2800.00,USD,2024-01-24 13:15:45,DECLINED
